/workspace/AdvancedLiterateMachinery/DocumentUnderstanding/GeoLayoutLM/dataset/funsd_geo/testing_data/images/85201976.png

0	148,292,187,305
1	147,318,211,336
2	148,348,184,365
3	320,348,363,366
4	489,349,517,367
5	148,492,177,505
6	172,633,189,651
7	174,662,188,679
8	174,689,188,709
9	372,779,432,796
10	662,779,680,867
11	66,75,294,102
12	243,131,511,206
13	144,233,615,266
14	147,388,238,406
15	148,420,271,435
16	147,461,264,479
17	151,520,254,550
18	148,589,665,609
19	148,723,307,756
20	151,768,245,797
21	551,784,648,798
22	151,824,395,841
23	148,852,486,884

18,6	ERROR
18,7	ERROR
18,8	ERROR
20,9	ERROR
20,21	ERROR
