/workspace/AdvancedLiterateMachinery/DocumentUnderstanding/GeoLayoutLM/dataset/funsd_geo/testing_data/images/82200067_0069.png

0	74,140,92,153
1	74,168,108,181
2	632,198,640,208
3	74,223,126,234
4	73,348,123,361
5	90,374,142,388
6	91,404,141,415
7	93,433,142,444
8	74,293,117,306
9	386,374,433,388
10	386,404,433,417
11	383,432,435,445
12	334,587,354,598
13	337,601,351,614
14	340,617,351,628
15	337,649,351,662
16	338,666,351,676
17	340,680,353,693
18	337,697,352,708
19	674,774,695,879
20	84,77,301,90
21	369,78,459,89
22	643,78,675,93
23	224,141,291,154
24	224,169,286,181
25	224,223,587,236
26	569,170,602,181
27	565,198,602,208
28	450,169,489,182
29	453,197,490,208
30	74,320,386,333
31	153,376,282,388
32	153,402,285,417
33	151,430,275,445
34	442,374,591,388
35	440,402,591,417
36	442,432,591,444
37	76,499,575,528
38	97,570,198,584
39	242,557,285,581
40	327,557,369,582
41	410,570,508,582
42	545,557,591,581
43	621,556,663,583
44	76,587,153,598
45	76,602,161,615
46	76,617,146,630
47	76,648,122,662
48	74,663,114,678
49	74,683,119,694
50	77,698,125,709
51	245,585,284,598
52	248,603,281,614
53	249,617,278,628
54	243,648,285,662
55	243,665,287,679
56	245,680,283,696
57	242,696,286,710
58	553,908,658,923

0,23	RIGHT
1,24	RIGHT
5,31	RIGHT
6,32	RIGHT
7,33	RIGHT
9,34	RIGHT
10,35	RIGHT
11,36	RIGHT
27,2	RIGHT
38,44	RIGHT
38,45	RIGHT
38,46	RIGHT
38,47	RIGHT
38,48	RIGHT
38,49	RIGHT
38,50	RIGHT
39,51	RIGHT
39,52	RIGHT
39,53	RIGHT
39,54	RIGHT
39,55	RIGHT
39,56	RIGHT
39,57	RIGHT
40,12	RIGHT
40,13	RIGHT
40,14	RIGHT
40,15	RIGHT
40,16	RIGHT
40,17	RIGHT
40,18	RIGHT
4,5	MISS
4,6	MISS
4,7	MISS
4,9	MISS
4,10	MISS
4,11	MISS
8,30	MISS
