/workspace/AdvancedLiterateMachinery/DocumentUnderstanding/GeoLayoutLM/dataset/funsd_geo/testing_data/images/86220490.png

0	167,261,191,276
1	167,282,203,297
2	168,304,195,319
3	197,304,215,319
4	167,342,208,357
5	168,425,203,442
6	269,282,303,297
7	270,306,326,320
8	116,560,150,575
9	660,711,681,814
10	197,182,505,222
11	270,260,353,277
12	270,342,357,359
13	269,365,335,382
14	270,388,334,403
15	168,365,216,380
16	168,387,232,404
17	269,426,323,441
18	267,447,464,463
19	167,447,229,464
20	116,647,611,664
21	115,693,586,731
22	116,761,224,778
23	116,605,259,622

0,11	RIGHT
1,6	RIGHT
2,7	RIGHT
3,7	ERROR
4,12	RIGHT
5,17	RIGHT
15,13	RIGHT
16,14	RIGHT
19,18	RIGHT
